지점,지점명,일시,기온(°C),습도(%)
90,속초,2020-06-30 01:00,21,96
90,속초,2020-06-30 02:00,20.9,96
90,속초,2020-06-30 03:00,20.7,97
90,속초,2020-06-30 04:00,20.5,97
90,속초,2020-06-30 05:00,20.3,96
90,속초,2020-06-30 06:00,20.1,97
90,속초,2020-06-30 07:00,20.1,97
90,속초,2020-06-30 08:00,20.1,97
90,속초,2020-06-30 09:00,19.7,97
90,속초,2020-06-30 10:00,19.4,97
90,속초,2020-06-30 11:00,19.2,96
90,속초,2020-06-30 12:00,19.1,96
90,속초,2020-06-30 13:00,19,97
90,속초,2020-06-30 14:00,18.8,97
90,속초,2020-06-30 15:00,18.5,96
90,속초,2020-06-30 16:00,18.3,95
90,속초,2020-06-30 17:00,17.9,96
90,속초,2020-06-30 18:00,17.8,96
90,속초,2020-06-30 19:00,17.5,96
90,속초,2020-06-30 20:00,17.5,95
90,속초,2020-06-30 21:00,17.2,95
90,속초,2020-06-30 22:00,16.9,94
90,속초,2020-06-30 23:00,16.6,95
90,속초,2020-07-01 00:00,16.5,95
90,속초,2020-07-01 01:00,16.5,94
90,속초,2020-07-01 02:00,16.5,92
90,속초,2020-07-01 03:00,16.5,90
90,속초,2020-07-01 04:00,16.2,92
90,속초,2020-07-01 05:00,16.4,92
90,속초,2020-07-01 06:00,16.5,92
90,속초,2020-07-01 07:00,16.5,94
90,속초,2020-07-01 08:00,17.3,90
90,속초,2020-07-01 09:00,18,92
90,속초,2020-07-01 10:00,20.2,83
90,속초,2020-07-01 11:00,21.5,81
90,속초,2020-07-01 12:00,20.4,83
90,속초,2020-07-01 13:00,22.3,79
90,속초,2020-07-01 14:00,23.4,66
90,속초,2020-07-01 15:00,23.7,64
90,속초,2020-07-01 16:00,23.3,64
90,속초,2020-07-01 17:00,24.1,60
90,속초,2020-07-01 18:00,23.1,70
90,속초,2020-07-01 19:00,22.8,69
90,속초,2020-07-01 20:00,20.2,79
90,속초,2020-07-01 21:00,19.1,81
90,속초,2020-07-01 22:00,19.2,76
90,속초,2020-07-01 23:00,18.8,77
93,북춘천,2020-06-30 01:00,21.5,79
93,북춘천,2020-06-30 02:00,20.4,87
93,북춘천,2020-06-30 03:00,20.7,83
93,북춘천,2020-06-30 04:00,21.7,73
93,북춘천,2020-06-30 05:00,22,69
93,북춘천,2020-06-30 06:00,22.8,66
93,북춘천,2020-06-30 07:00,22.2,71
93,북춘천,2020-06-30 08:00,21.4,76
93,북춘천,2020-06-30 09:00,22.3,69
93,북춘천,2020-06-30 10:00,23.1,65
93,북춘천,2020-06-30 11:00,23.4,65
93,북춘천,2020-06-30 12:00,23.2,66
93,북춘천,2020-06-30 13:00,22.3,73
93,북춘천,2020-06-30 14:00,23,65
93,북춘천,2020-06-30 15:00,22.8,65
93,북춘천,2020-06-30 16:00,22.4,65
93,북춘천,2020-06-30 17:00,21.5,70
93,북춘천,2020-06-30 18:00,20.3,78
93,북춘천,2020-06-30 19:00,19.1,87
93,북춘천,2020-06-30 20:00,19.3,83
93,북춘천,2020-06-30 21:00,18.7,86
93,북춘천,2020-06-30 22:00,18.3,86
93,북춘천,2020-06-30 23:00,17.4,94
93,북춘천,2020-07-01 00:00,18.1,92
93,북춘천,2020-07-01 01:00,17.2,95
93,북춘천,2020-07-01 02:00,17,99
93,북춘천,2020-07-01 03:00,16.8,99
93,북춘천,2020-07-01 04:00,16.6,99
93,북춘천,2020-07-01 05:00,16.4,99
93,북춘천,2020-07-01 06:00,16.5,99
93,북춘천,2020-07-01 07:00,17,98
93,북춘천,2020-07-01 08:00,17.5,95
93,북춘천,2020-07-01 09:00,18.4,93
93,북춘천,2020-07-01 10:00,18.9,89
93,북춘천,2020-07-01 11:00,19.9,83
93,북춘천,2020-07-01 12:00,20.6,80
93,북춘천,2020-07-01 13:00,21,81
93,북춘천,2020-07-01 14:00,22.4,79
93,북춘천,2020-07-01 15:00,23.2,74
93,북춘천,2020-07-01 16:00,24.1,70
93,북춘천,2020-07-01 17:00,24.6,68
93,북춘천,2020-07-01 18:00,24.8,64
93,북춘천,2020-07-01 19:00,24.2,71
93,북춘천,2020-07-01 20:00,21.3,87
93,북춘천,2020-07-01 21:00,20,91
93,북춘천,2020-07-01 22:00,19.1,96
93,북춘천,2020-07-01 23:00,18.3,98
95,철원,2020-06-30 01:00,19.8,100
95,철원,2020-06-30 02:00,20,97
95,철원,2020-06-30 03:00,19,100
95,철원,2020-06-30 04:00,18.9,100
95,철원,2020-06-30 05:00,19.2,100
95,철원,2020-06-30 06:00,19.7,96
95,철원,2020-06-30 07:00,20.3,89
95,철원,2020-06-30 08:00,19,100
95,철원,2020-06-30 09:00,19.9,94
95,철원,2020-06-30 10:00,21,80
95,철원,2020-06-30 11:00,20.6,90
95,철원,2020-06-30 12:00,21.3,86
95,철원,2020-06-30 13:00,21.1,86
95,철원,2020-06-30 14:00,20.7,86
95,철원,2020-06-30 15:00,21.1,82
95,철원,2020-06-30 16:00,20.5,84
95,철원,2020-06-30 17:00,20.2,86
95,철원,2020-06-30 18:00,18.3,100
95,철원,2020-06-30 19:00,17.7,100
95,철원,2020-06-30 20:00,17.5,100
95,철원,2020-06-30 21:00,17.1,100
95,철원,2020-06-30 22:00,16.8,100
95,철원,2020-06-30 23:00,16.9,100
95,철원,2020-07-01 00:00,16.8,100
95,철원,2020-07-01 01:00,16.8,100
95,철원,2020-07-01 02:00,16.5,100
95,철원,2020-07-01 03:00,16.3,100
95,철원,2020-07-01 04:00,16.4,100
95,철원,2020-07-01 05:00,16.2,100
95,철원,2020-07-01 06:00,16.4,100
95,철원,2020-07-01 07:00,16.8,100
95,철원,2020-07-01 08:00,17.2,100
95,철원,2020-07-01 09:00,17.9,100
95,철원,2020-07-01 10:00,18.5,100
95,철원,2020-07-01 11:00,20.1,100
95,철원,2020-07-01 12:00,21.1,89
95,철원,2020-07-01 13:00,22.4,86
95,철원,2020-07-01 14:00,22.7,87
95,철원,2020-07-01 15:00,23.6,85
95,철원,2020-07-01 16:00,24.3,77
95,철원,2020-07-01 17:00,24.9,77
95,철원,2020-07-01 18:00,24.2,78
95,철원,2020-07-01 19:00,23.5,81
95,철원,2020-07-01 20:00,22.4,89
95,철원,2020-07-01 21:00,19.8,100
95,철원,2020-07-01 22:00,18.9,100
95,철원,2020-07-01 23:00,18.6,100
98,동두천,2020-06-30 01:00,18.6,97
98,동두천,2020-06-30 02:00,18.6,97
98,동두천,2020-06-30 03:00,18.4,95
98,동두천,2020-06-30 04:00,18.6,95
98,동두천,2020-06-30 05:00,18,97
98,동두천,2020-06-30 06:00,17.9,99
98,동두천,2020-06-30 07:00,17.7,99
98,동두천,2020-06-30 08:00,17.7,99
98,동두천,2020-06-30 09:00,18.2,99
98,동두천,2020-06-30 10:00,19,94
98,동두천,2020-06-30 11:00,19.8,91
98,동두천,2020-06-30 12:00,20.8,82
98,동두천,2020-06-30 13:00,20.7,85
98,동두천,2020-06-30 14:00,21.4,78
98,동두천,2020-06-30 15:00,21.7,73
98,동두천,2020-06-30 16:00,21.5,74
98,동두천,2020-06-30 17:00,20.7,77
98,동두천,2020-06-30 18:00,19.3,86
98,동두천,2020-06-30 19:00,18,94
98,동두천,2020-06-30 20:00,17,99
98,동두천,2020-06-30 21:00,17,98
98,동두천,2020-06-30 22:00,17.3,98
98,동두천,2020-06-30 23:00,17.2,97
98,동두천,2020-07-01 00:00,17.2,97
98,동두천,2020-07-01 01:00,17,98
98,동두천,2020-07-01 02:00,16.7,99
98,동두천,2020-07-01 03:00,16.2,99
98,동두천,2020-07-01 04:00,16.4,99
98,동두천,2020-07-01 05:00,16.4,100
98,동두천,2020-07-01 06:00,16.7,100
98,동두천,2020-07-01 07:00,16.8,99
98,동두천,2020-07-01 08:00,17.6,98
98,동두천,2020-07-01 09:00,18.5,97
98,동두천,2020-07-01 10:00,19.3,91
98,동두천,2020-07-01 11:00,20.5,89
98,동두천,2020-07-01 12:00,20.7,85
98,동두천,2020-07-01 13:00,21.1,87
98,동두천,2020-07-01 14:00,22.3,77
98,동두천,2020-07-01 15:00,22.8,80
98,동두천,2020-07-01 16:00,23.6,76
98,동두천,2020-07-01 17:00,23.1,75
98,동두천,2020-07-01 18:00,23.7,74
98,동두천,2020-07-01 19:00,22.6,79
98,동두천,2020-07-01 20:00,20.9,87
98,동두천,2020-07-01 21:00,20.8,86
98,동두천,2020-07-01 22:00,19.5,93
98,동두천,2020-07-01 23:00,18.8,95
99,파주,2020-06-30 01:00,19.8,94
99,파주,2020-06-30 02:00,19.2,96
99,파주,2020-06-30 03:00,18.7,97
99,파주,2020-06-30 04:00,18.5,97
99,파주,2020-06-30 05:00,18.6,98
99,파주,2020-06-30 06:00,18.2,98
99,파주,2020-06-30 07:00,18.3,98
99,파주,2020-06-30 08:00,18.3,97
99,파주,2020-06-30 09:00,18.7,95
99,파주,2020-06-30 10:00,19,92
99,파주,2020-06-30 11:00,20.3,88
99,파주,2020-06-30 12:00,21.1,84
99,파주,2020-06-30 13:00,21.5,79
99,파주,2020-06-30 14:00,21.7,73
99,파주,2020-06-30 15:00,21.8,70
99,파주,2020-06-30 16:00,21.7,71
99,파주,2020-06-30 17:00,19.6,91
99,파주,2020-06-30 18:00,18.8,88
99,파주,2020-06-30 19:00,17.7,94
99,파주,2020-06-30 20:00,17.3,97
99,파주,2020-06-30 21:00,17.2,99
99,파주,2020-06-30 22:00,17.3,100
99,파주,2020-06-30 23:00,17.5,100
99,파주,2020-07-01 00:00,17.3,100
99,파주,2020-07-01 01:00,17.1,100
99,파주,2020-07-01 02:00,16.7,100
99,파주,2020-07-01 03:00,16.5,100
99,파주,2020-07-01 04:00,16.6,100
99,파주,2020-07-01 05:00,16.8,100
99,파주,2020-07-01 06:00,17.1,100
99,파주,2020-07-01 07:00,17.9,100
99,파주,2020-07-01 08:00,18.5,97
99,파주,2020-07-01 09:00,19.5,95
99,파주,2020-07-01 10:00,20,91
99,파주,2020-07-01 11:00,21.2,84
99,파주,2020-07-01 12:00,21.5,85
99,파주,2020-07-01 13:00,21.8,81
99,파주,2020-07-01 14:00,22.3,77
99,파주,2020-07-01 15:00,23.2,73
99,파주,2020-07-01 16:00,24.5,72
99,파주,2020-07-01 17:00,24.5,72
99,파주,2020-07-01 18:00,23.7,77
99,파주,2020-07-01 19:00,23.2,76
99,파주,2020-07-01 20:00,21.2,87
99,파주,2020-07-01 21:00,19.5,96
99,파주,2020-07-01 22:00,19,99
99,파주,2020-07-01 23:00,18.3,99
100,대관령,2020-06-30 01:00,16.2,97
100,대관령,2020-06-30 02:00,15.1,97
100,대관령,2020-06-30 03:00,14.9,98
100,대관령,2020-06-30 04:00,15.8,98
100,대관령,2020-06-30 05:00,16.1,98
100,대관령,2020-06-30 06:00,15.5,97
100,대관령,2020-06-30 07:00,15.3,97
100,대관령,2020-06-30 08:00,16.1,96
100,대관령,2020-06-30 09:00,15.6,95
100,대관령,2020-06-30 10:00,15.7,95
100,대관령,2020-06-30 11:00,16.6,96
100,대관령,2020-06-30 12:00,17.2,95
100,대관령,2020-06-30 13:00,16.9,94
100,대관령,2020-06-30 14:00,16.7,94
100,대관령,2020-06-30 15:00,16.3,94
100,대관령,2020-06-30 16:00,15.8,94
100,대관령,2020-06-30 17:00,15,94
100,대관령,2020-06-30 18:00,14.3,94
100,대관령,2020-06-30 19:00,14.1,95
100,대관령,2020-06-30 20:00,14.1,95
100,대관령,2020-06-30 21:00,13.8,95
100,대관령,2020-06-30 22:00,13.8,95
100,대관령,2020-06-30 23:00,13.1,96
100,대관령,2020-07-01 00:00,13,96
100,대관령,2020-07-01 01:00,13.1,96
100,대관령,2020-07-01 02:00,13.1,97
100,대관령,2020-07-01 03:00,13.3,96
100,대관령,2020-07-01 04:00,13.5,96
100,대관령,2020-07-01 05:00,13.3,95
100,대관령,2020-07-01 06:00,13.1,96
100,대관령,2020-07-01 07:00,13.3,96
100,대관령,2020-07-01 08:00,13.8,95
100,대관령,2020-07-01 09:00,13.6,95
100,대관령,2020-07-01 10:00,13.8,95
100,대관령,2020-07-01 11:00,14.8,94
100,대관령,2020-07-01 12:00,15.8,89
100,대관령,2020-07-01 13:00,17.9,79
100,대관령,2020-07-01 14:00,18.7,77
100,대관령,2020-07-01 15:00,17.8,83
100,대관령,2020-07-01 16:00,19.3,74
100,대관령,2020-07-01 17:00,18.3,78
100,대관령,2020-07-01 18:00,19.3,68
100,대관령,2020-07-01 19:00,18.2,74
100,대관령,2020-07-01 20:00,15.9,86
100,대관령,2020-07-01 21:00,13.6,96
100,대관령,2020-07-01 22:00,12.1,97
100,대관령,2020-07-01 23:00,11.6,98
101,춘천,2020-06-30 01:00,21.5,81
101,춘천,2020-06-30 02:00,20.6,90
101,춘천,2020-06-30 03:00,20.1,90
101,춘천,2020-06-30 04:00,20.9,73
101,춘천,2020-06-30 05:00,20.7,72
101,춘천,2020-06-30 06:00,21.7,70
101,춘천,2020-06-30 07:00,21.3,75
101,춘천,2020-06-30 08:00,21,76
101,춘천,2020-06-30 09:00,22.2,65
101,춘천,2020-06-30 10:00,23,65
101,춘천,2020-06-30 11:00,23.4,63
101,춘천,2020-06-30 12:00,23.1,63
101,춘천,2020-06-30 13:00,22.4,69
101,춘천,2020-06-30 14:00,23,62
101,춘천,2020-06-30 15:00,23,62
101,춘천,2020-06-30 16:00,22.6,62
101,춘천,2020-06-30 17:00,22.1,63
101,춘천,2020-06-30 18:00,20.7,74
101,춘천,2020-06-30 19:00,20.3,82
101,춘천,2020-06-30 20:00,19.6,82
101,춘천,2020-06-30 21:00,19.2,82
101,춘천,2020-06-30 22:00,18.9,83
101,춘천,2020-06-30 23:00,18.5,90
101,춘천,2020-07-01 00:00,18.3,92
101,춘천,2020-07-01 01:00,18.2,93
101,춘천,2020-07-01 02:00,18.1,95
101,춘천,2020-07-01 03:00,17.8,95
101,춘천,2020-07-01 04:00,17.7,96
101,춘천,2020-07-01 05:00,17.5,95
101,춘천,2020-07-01 06:00,17.4,96
101,춘천,2020-07-01 07:00,17.7,95
101,춘천,2020-07-01 08:00,18.1,92
101,춘천,2020-07-01 09:00,19.1,85
101,춘천,2020-07-01 10:00,19.6,84
101,춘천,2020-07-01 11:00,19.9,81
101,춘천,2020-07-01 12:00,20.6,78
101,춘천,2020-07-01 13:00,21.4,76
101,춘천,2020-07-01 14:00,22.7,72
101,춘천,2020-07-01 15:00,23.7,66
101,춘천,2020-07-01 16:00,24.9,64
